OBJECTID,DevEUI,Temperature,Humidity,VDD,Distance,Pressure,Timestamp
12347,a81758fffe03e451,15.4,71,3609,2692,,2021/05/29 15:24:01.836+00
12348,a81758fffe059fdc,22.1,37,3626,5000,1029.881,2021/05/29 15:33:11.220+00
12349,a81758fffe03e451,15.5,71,3609,2687,,2021/05/29 15:34:01.796+00
12350,a81758fffe03e451,15.7,71,3611,2688,,2021/05/29 15:44:01.742+00
12351,a81758fffe037506,23.6,43,,,,2021/05/29 15:46:08.114+00
12352,a81758fffe059fdc,21.9,37,3626,5000,1029.806,2021/05/29 15:48:11.189+00
12353,a81758fffe03e451,15.7,71,3611,2689,,2021/05/29 15:54:01.719+00
12354,a81758fffe03e451,15.8,71,3609,2694,,2021/05/29 16:04:01.664+00
12355,a81758fffe03e451,15.8,71,3611,2689,,2021/05/29 16:14:01.622+00
12356,a81758fffe037506,23.6,43,,,,2021/05/29 16:16:07.984+00
12357,a81758fffe059fdc,18.7,39,3628,5000,1029.377,2021/05/29 16:18:11.119+00
12358,a81758fffe03e451,15.9,70,3611,2692,,2021/05/29 16:24:01.641+00
12359,a81758fffe037506,23.6,43,,,,2021/05/29 16:31:07.925+00
12360,a81758fffe059fdc,17.8,40,3628,5000,1029.289,2021/05/29 16:33:11.082+00
12361,a81758fffe03e451,15.9,70,3611,2695,,2021/05/29 16:34:01.580+00
12362,a81758fffe037506,23.6,43,,,,2021/05/29 16:46:07.861+00
12363,a81758fffe059fdc,19.2,38,3626,5000,1029.451,2021/05/29 16:48:11.049+00
12364,a81758fffe03e451,16.1,70,3611,2687,,2021/05/29 16:54:01.481+00
12365,a81758fffe037506,23.6,43,,,,2021/05/29 17:01:07.808+00
12366,a81758fffe059fdc,18.3,39,3628,5000,1029.32,2021/05/29 17:03:11.020+00
12367,a81758fffe03e451,16.2,70,3611,2690,,2021/05/29 17:04:01.441+00
12368,a81758fffe03e451,16.2,70,3611,2690,,2021/05/29 17:14:01.441+00
12369,a81758fffe059fdc,17.7,40,3628,5000,1029.131,2021/05/29 17:18:10.984+00
12370,a81758fffe037506,23.6,43,,,,2021/05/29 17:31:07.689+00
12371,a81758fffe059fdc,17.4,40,3628,5000,1029.036,2021/05/29 17:33:10.948+00
12372,a81758fffe03e451,16.3,69,3614,2694,,2021/05/29 17:34:01.325+00
12373,a81758fffe037506,23.6,43,,,,2021/05/29 17:46:07.630+00
12374,a81758fffe059fdc,17.9,39,3628,5000,1028.977,2021/05/29 17:48:10.915+00
12375,a81758fffe03e451,16.5,69,3611,2691,,2021/05/29 17:54:01.302+00
12376,a81758fffe037506,23.5,43,,,,2021/05/29 18:01:07.572+00
12377,a81758fffe059fdc,19.2,38,3626,5000,1028.971,2021/05/29 18:03:10.887+00
12378,a81758fffe03e451,16.5,69,3611,2694,,2021/05/29 18:04:01.301+00
12379,a81758fffe059fdc,18.8,39,3628,5000,1028.817,2021/05/29 18:18:10.858+00
12380,a81758fffe059fdd,19.7,38,3629,532,1022.626,2021/05/29 18:23:05.087+00
12381,a81758fffe03e451,16.5,69,3611,2695,,2021/05/29 18:24:01.162+00
12382,a81758fffe037506,23.6,43,,,,2021/05/29 18:31:07.445+00
12383,a81758fffe059fdc,17.4,40,3631,5000,1028.819,2021/05/29 18:33:10.817+00
12384,a81758fffe03e451,16.4,69,3611,2690,,2021/05/29 18:44:01.054+00
12385,a81758fffe037506,23.6,43,,,,2021/05/29 18:46:07.385+00
12386,a81758fffe037506,23.6,43,,,,2021/05/29 19:01:07.334+00
12387,a81758fffe059fdc,16.6,40,3628,5000,1028.74,2021/05/29 19:03:10.792+00
12388,a81758fffe03e451,16.4,69,3614,2693,,2021/05/29 19:04:00.993+00
12389,a81758fffe03e451,16.3,69,3611,2693,,2021/05/29 19:14:00.989+00
12390,a81758fffe037506,23.6,43,,,,2021/05/29 19:16:07.278+00
12391,a81758fffe03e451,16.3,69,3611,2694,,2021/05/29 19:24:00.923+00
12392,a81758fffe059fdc,16.9,40,3628,5000,1028.726,2021/05/29 19:33:10.697+00
12393,a81758fffe03e451,16,69,3611,2691,,2021/05/29 19:44:00.829+00
12394,a81758fffe037506,23.6,43,,,,2021/05/29 19:46:07.148+00
12395,a81758fffe03e451,15.9,69,3611,2689,,2021/05/29 19:54:00.791+00
12396,a81758fffe037506,23.6,43,,,,2021/05/29 20:01:07.083+00
12397,a81758fffe059fdc,16.5,40,3626,5000,1028.737,2021/05/29 20:03:10.640+00
12398,a81758fffe03e451,15.8,69,3611,2690,,2021/05/29 20:04:00.762+00
12399,a81758fffe03e451,15.7,69,3611,2692,,2021/05/29 20:14:00.721+00
12400,a81758fffe037506,23.6,43,,,,2021/05/29 20:16:07.024+00
12401,a81758fffe059fdc,17.1,39,3628,5000,1028.706,2021/05/29 20:18:10.597+00
12402,a81758fffe03e451,15.6,69,3611,2696,,2021/05/29 20:24:00.679+00
12403,a81758fffe059fdc,18,39,3626,5000,1028.831,2021/05/29 20:33:10.562+00
12404,a81758fffe03e451,15.5,69,3611,2694,,2021/05/29 20:34:00.643+00
12405,a81758fffe03e451,15.4,69,3611,2698,,2021/05/29 20:44:00.679+00
12406,a81758fffe037506,23.6,43,,,,2021/05/29 20:46:06.907+00
12407,a81758fffe03e451,15.3,69,3614,2690,,2021/05/29 20:54:00.573+00
12408,a81758fffe037506,23.6,43,,,,2021/05/29 21:01:06.843+00
12409,a81758fffe059fdc,17,40,3626,5000,1028.964,2021/05/29 21:03:10.502+00
12410,a81758fffe03e451,15.1,69,3611,2687,,2021/05/29 21:04:00.541+00
12411,a81758fffe03e451,15,69,3611,2688,,2021/05/29 21:14:00.493+00
12412,a81758fffe03e451,15,69,3611,2689,,2021/05/29 21:24:00.464+00
12413,a81758fffe037506,23.6,43,,,,2021/05/29 21:31:06.732+00
12414,a81758fffe059fdc,17.8,39,3628,5000,1029.156,2021/05/29 21:33:10.442+00
12415,a81758fffe03e451,14.8,69,3611,2691,,2021/05/29 21:34:00.407+00
12416,a81758fffe03e451,14.7,69,3609,2691,,2021/05/29 21:44:00.401+00
12417,a81758fffe037506,23.6,43,,,,2021/05/29 22:01:06.605+00
12418,a81758fffe03e451,14.6,69,3609,2688,,2021/05/29 22:04:00.303+00
12419,a81758fffe03e451,14.5,69,3611,2115,,2021/05/29 22:14:00.430+00
12420,a81758fffe037506,23.7,43,,,,2021/05/29 22:16:06.557+00
